iter	Logloss
0	0.6403325742
1	0.6011499524
2	0.5706670565
3	0.5481810518
4	0.5314617115
5	0.5182539355
6	0.5070368479
7	0.4985783536
8	0.4914550482
9	0.4854794102
10	0.4807316438
11	0.4772637473
12	0.4738415205
13	0.4706838629
14	0.4685088429
15	0.4662486711
16	0.464310779
17	0.4621846334
18	0.4608761094
19	0.4590958301
20	0.457786983
21	0.4564520864
22	0.4553297495
23	0.4541937537
24	0.4532215147
25	0.4524085223
26	0.4514795872
27	0.4507490042
28	0.4499282186
29	0.4491740162
30	0.4484662596
31	0.4477882859
32	0.4471926785
33	0.4465151575
34	0.445877921
35	0.4452414458
36	0.4447678805
37	0.4441786869
38	0.4435135154
39	0.4430006605
40	0.442493964
41	0.4420258862
42	0.4414937363
43	0.4410123279
44	0.4404214496
45	0.4399427248
46	0.4395365904
47	0.4391110576
48	0.4387042775
49	0.4383218349
50	0.4379099329
51	0.4374547347
52	0.436985231
53	0.4366466305
54	0.4362472994
55	0.4358787694
56	0.4354551557
57	0.4351443813
58	0.4347701677
59	0.4343740125
60	0.4340131103
61	0.4336882651
62	0.4333797176
63	0.4330738579
64	0.4327958504
65	0.4324927904
66	0.4321431993
67	0.4318268664
68	0.4315620458
69	0.4313071049
70	0.431000345
71	0.4308071277
72	0.430447143
73	0.4301593766
74	0.4298989848
75	0.4296217728
76	0.4293493097
77	0.4290538795
78	0.4287962861
79	0.4284260952
80	0.4281610847
81	0.4278409529
82	0.4275643192
83	0.427273037
84	0.4270882789
85	0.4268090238
86	0.4265658039
87	0.4263217582
88	0.4260836527
89	0.4258473
90	0.4256290121
91	0.4253624872
92	0.4251557013
93	0.4248797512
94	0.4246779064
95	0.4245098084
96	0.4243663716
97	0.4241229941
98	0.4238341937
99	0.4235237374
100	0.4233256054
101	0.4231790246
102	0.4228897383
103	0.4226889691
104	0.4224531346
105	0.4222537111
106	0.4219819008
107	0.4218253524
108	0.4216204278
109	0.4214015786
110	0.4212423627
111	0.4210229501
112	0.4208210512
113	0.420597579
114	0.4203375495
115	0.4200816317
116	0.419922533
117	0.4197120533
118	0.4195364541
119	0.4193488605
120	0.4191138252
121	0.4188574741
122	0.4186194913
123	0.4184237222
124	0.4182039426
