iter	Passed	Remaining
0	19	193496
1	38	192500
2	57	191738
3	76	191728
4	95	190594
5	112	188179
6	132	189620
7	151	189531
8	171	190501
9	190	190381
10	209	190573
11	228	190311
12	247	189900
13	266	189883
14	284	189420
15	304	189736
16	324	190295
17	342	189930
18	360	189447
19	378	188905
20	397	188635
21	414	187772
22	432	187447
23	450	187121
24	468	187089
25	487	186875
26	505	186620
27	522	186120
28	541	186093
29	560	186170
30	578	186041
31	595	185627
32	614	185438
33	631	184964
34	648	184651
35	666	184425
36	683	183905
37	700	183615
38	718	183516
39	736	183359
40	753	183056
41	771	182830
42	789	182742
43	806	182525
44	824	182463
45	842	182242
46	859	182039
47	876	181719
48	894	181567
49	911	181440
50	929	181365
51	947	181254
52	964	180935
53	980	180659
54	997	180321
55	1014	180205
56	1032	180005
57	1048	179706
58	1065	179547
59	1083	179410
60	1100	179260
61	1119	179348
62	1136	179261
63	1153	179038
64	1173	179316
65	1193	179585
66	1210	179441
67	1228	179371
68	1244	179154
69	1261	178994
70	1279	178919
71	1296	178687
72	1323	179943
73	1343	180210
74	1361	180098
75	1378	179991
76	1394	179713
77	1412	179632
78	1429	179529
79	1447	179497
80	1464	179353
81	1482	179299
82	1501	179348
83	1518	179223
84	1534	178920
85	1550	178778
86	1567	178641
87	1585	178513
88	1601	178374
89	1618	178175
90	1635	178061
91	1653	178016
92	1669	177838
93	1687	177814
94	1704	177650
95	1719	177377
96	1734	177105
97	1751	176916
98	1769	176948
99	1788	177024
100	1804	176823
101	1820	176601
102	1837	176523
103	1853	176394
104	1871	176319
105	1888	176212
106	1905	176175
107	1921	176005
108	1938	175872
109	1955	175818
110	1971	175646
111	1988	175545
112	2006	175555
113	2023	175486
114	2041	175498
115	2058	175352
116	2073	175101
117	2091	175163
118	2109	175129
119	2125	175020
120	2143	174948
121	2160	174873
122	2177	174809
123	2195	174875
124	2212	174739
125	2227	174573
126	2244	174507
127	2262	174503
128	2279	174441
129	2296	174371
130	2313	174280
131	2330	174209
132	2347	174150
133	2363	174017
134	2381	174026
135	2398	173924
136	2415	173848
137	2431	173720
138	2449	173760
139	2466	173724
140	2484	173700
141	2501	173674
142	2517	173498
143	2535	173502
144	2552	173492
145	2570	173462
146	2587	173428
147	2605	173408
148	2621	173302
149	2639	173288
150	2655	173219
151	2673	173176
152	2690	173138
153	2706	173047
154	2724	173053
155	2741	172987
156	2758	172928
157	2775	172871
158	2792	172818
159	2809	172794
160	2827	172762
161	2843	172677
162	2860	172588
163	2877	172578
164	2894	172529
165	2912	172519
166	2928	172442
167	2946	172434
168	2964	172413
169	2980	172307
170	2997	172282
171	3014	172240
172	3031	172201
173	3049	172212
174	3066	172150
175	3084	172137
176	3101	172118
177	3118	172051
178	3136	172060
179	3154	172061
180	3169	171922
181	3186	171869
182	3203	171834
183	3220	171789
184	3238	171784
185	3255	171739
186	3271	171678
187	3287	171578
188	3303	171464
189	3321	171461
190	3338	171435
191	3355	171382
192	3372	171374
193	3389	171309
194	3407	171295
195	3422	171181
196	3439	171161
197	3457	171144
198	3473	171038
199	3491	171065
200	3508	171013
201	3525	170998
202	3542	170943
203	3558	170867
204	3576	170850
205	3591	170754
206	3609	170758
207	3628	170799
208	3643	170662
209	3661	170679
210	3678	170662
211	3693	170524
212	3710	170495
213	3726	170400
214	3744	170388
215	3761	170383
216	3777	170285
217	3795	170270
218	3810	170161
219	3828	170157
220	3845	170151
221	3863	170135
222	3879	170084
223	3896	170033
224	3914	170025
225	3930	169989
226	3948	169997
227	3966	169987
228	3984	169990
229	4000	169934
230	4018	169939
231	4036	169933
232	4053	169887
233	4070	169856
234	4085	169755
235	4102	169716
236	4118	169658
237	4135	169622
238	4152	169580
239	4168	169519
240	4184	169443
241	4201	169409
242	4218	169360
243	4235	169350
244	4253	169323
245	4269	169258
246	4286	169225
247	4303	169206
248	4320	169184
249	4337	169142
250	4355	169144
251	4372	169128
252	4388	169068
253	4406	169052
254	4423	169014
255	4441	169018
256	4457	168970
257	4476	169003
258	4493	168976
259	4510	168935
260	4528	168945
261	4544	168898
262	4561	168877
263	4579	168853
264	4596	168846
265	4613	168811
266	4630	168768
267	4646	168726
268	4664	168722
269	4681	168678
270	4699	168696
271	4716	168649
272	4733	168652
273	4750	168594
274	4767	168571
275	4783	168509
276	4801	168521
277	4817	168472
278	4834	168433
279	4851	168387
280	4868	168362
281	4885	168354
282	4902	168322
283	4919	168296
284	4938	168320
285	4954	168274
286	4970	168212
287	4988	168191
288	5005	168168
289	5021	168115
290	5039	168124
291	5056	168099
292	5074	168096
293	5090	168036
294	5107	167997
295	5124	167977
296	5141	167964
297	5158	167919
298	5174	167864
299	5192	167860
300	5209	167837
301	5225	167798
302	5243	167789
303	5260	167750
304	5277	167731
305	5293	167682
306	5309	167629
307	5326	167600
308	5343	167570
309	5360	167547
310	5377	167513
311	5395	167510
312	5412	167492
313	5430	167491
314	5447	167461
315	5463	167429
316	5480	167399
317	5497	167360
318	5515	167357
319	5532	167326
320	5549	167303
321	5565	167268
322	5581	167210
323	5599	167218
324	5616	167193
325	5633	167152
326	5650	167136
327	5668	167123
328	5685	167100
329	5702	167073
330	5718	167020
