iter	Passed	Remaining
0	28	28387
1	55	27785
2	82	27534
3	113	28140
4	142	28297
5	168	27882
6	197	28029
7	225	27966
8	252	27775
9	280	27772
10	308	27767
11	337	27807
12	366	27853
13	394	27779
14	422	27760
15	451	27778
16	479	27751
17	507	27691
18	532	27508
19	560	27470
20	587	27387
21	615	27343
22	642	27294
23	670	27265
24	696	27158
25	725	27187
26	754	27180
27	780	27108
28	807	27048
29	830	26850
30	856	26758
31	879	26615
32	906	26552
33	931	26473
34	959	26459
35	985	26394
36	1012	26350
37	1039	26313
38	1062	26174
39	1085	26057
40	1113	26052
41	1137	25951
42	1165	25931
43	1188	25828
44	1215	25794
45	1242	25764
46	1266	25678
47	1293	25646
48	1317	25576
49	1343	25532
50	1368	25463
51	1391	25362
52	1417	25330
53	1443	25279
54	1465	25183
55	1491	25135
56	1515	25080
57	1541	25042
58	1566	24978
59	1588	24894
60	1614	24856
61	1640	24818
62	1662	24732
63	1685	24652
64	1711	24625
65	1737	24586
66	1762	24539
67	1785	24477
68	1810	24422
69	1836	24396
70	1862	24369
71	1887	24330
72	1915	24327
73	1942	24306
74	1964	24222
75	1990	24200
76	2016	24171
77	2043	24152
78	2069	24122
79	2091	24057
80	2114	23989
81	2141	23976
82	2166	23937
83	2191	23896
84	2217	23865
85	2240	23815
86	2264	23767
87	2289	23724
88	2311	23664
89	2335	23616
90	2359	23573
91	2385	23543
92	2409	23497
93	2435	23476
94	2459	23427
95	2480	23360
96	2505	23325
97	2529	23277
98	2553	23238
99	2578	23203
100	2600	23149
101	2625	23111
102	2652	23099
103	2676	23058
104	2701	23031
105	2727	23000
106	2751	22961
107	2777	22939
108	2802	22912
109	2825	22858
110	2850	22826
111	2874	22790
112	2897	22745
113	2921	22705
114	2946	22678
115	2966	22609
116	2990	22567
117	3011	22507
118	3033	22455
119	3059	22438
120	3082	22392
121	3105	22351
122	3128	22309
123	3149	22249
124	3171	22200
125	3194	22161
126	3217	22115
127	3242	22086
128	3265	22048
129	3287	21998
130	3307	21943
131	3330	21900
132	3355	21871
133	3380	21844
134	3401	21795
135	3423	21750
136	3448	21721
137	3474	21702
138	3495	21651
139	3520	21628
140	3542	21581
141	3566	21552
142	3587	21499
143	3613	21478
144	3634	21430
145	3657	21393
146	3682	21366
147	3704	21327
148	3725	21280
149	3747	21235
150	3770	21198
151	3789	21143
152	3810	21097
153	3835	21071
154	3858	21034
155	3881	21000
156	3908	20984
157	3931	20948
158	3951	20898
159	3975	20870
160	3999	20843
161	4019	20792
162	4041	20753
163	4063	20713
164	4086	20679
165	4112	20663
166	4134	20620
167	4157	20588
168	4176	20537
169	4201	20514
170	4225	20483
171	4244	20435
172	4268	20403
173	4291	20373
174	4317	20354
175	4344	20338
176	4366	20301
177	4390	20274
178	4415	20251
179	4438	20219
180	4461	20187
181	4485	20158
182	4509	20132
183	4534	20109
184	4557	20079
185	4580	20047
186	4605	20022
187	4629	19995
188	4651	19958
189	4673	19923
190	4694	19885
191	4720	19863
192	4742	19832
193	4764	19795
194	4788	19768
195	4811	19737
196	4833	19703
197	4855	19668
198	4877	19633
199	4901	19607
200	4924	19576
201	4949	19553
202	4968	19508
203	4992	19479
204	5015	19451
205	5038	19422
206	5061	19389
207	5085	19363
208	5108	19334
209	5130	19299
210	5155	19276
211	5181	19258
212	5205	19234
213	5231	19213
214	5253	19181
215	5278	19158
216	5300	19125
217	5324	19101
218	5348	19075
219	5372	19048
220	5397	19027
221	5419	18993
222	5443	18966
223	5466	18937
224	5490	18910
225	5511	18877
226	5534	18846
227	5559	18822
228	5581	18791
229	5604	18762
230	5629	18740
231	5653	18713
232	5677	18690
233	5697	18650
234	5719	18620
235	5742	18589
236	5766	18563
237	5793	18550
238	5815	18516
239	5837	18484
240	5860	18456
241	5886	18438
242	5910	18413
243	5934	18387
244	5955	18353
245	5981	18332
246	6005	18309
247	6025	18272
248	6048	18243
249	6073	18219
250	6099	18201
251	6120	18168
252	6144	18143
253	6165	18106
254	6187	18077
255	6210	18049
256	6232	18019
257	6258	17998
258	6282	17973
259	6307	17952
260	6334	17935
261	6356	17906
262	6379	17878
263	6405	17857
264	6428	17830
265	6452	17806
266	6478	17786
267	6503	17763
268	6525	17731
269	6548	17705
270	6572	17681
271	6594	17650
272	6619	17626
273	6642	17600
274	6665	17573
275	6688	17545
276	6709	17513
277	6733	17488
278	6761	17472
279	6783	17442
280	6804	17410
281	6827	17384
282	6849	17354
283	6874	17332
284	6896	17300
285	6920	17276
286	6945	17254
287	6967	17225
288	6993	17204
289	7015	17174
290	7039	17150
291	7063	17127
292	7088	17103
293	7111	17076
294	7134	17049
295	7156	17019
296	7181	16999
297	7203	16968
298	7226	16942
299	7247	16910
300	7273	16890
301	7296	16864
302	7321	16840
303	7343	16812
304	7367	16787
305	7389	16758
306	7411	16730
307	7434	16702
308	7456	16674
309	7480	16649
310	7500	16617
311	7526	16596
312	7546	16563
313	7570	16540
314	7593	16512
315	7616	16486
316	7640	16461
317	7665	16438
318	7687	16411
319	7709	16381
320	7730	16352
321	7753	16325
322	7779	16304
323	7800	16274
324	7823	16249
325	7844	16218
326	7868	16194
327	7892	16171
328	7916	16144
329	7940	16121
330	7961	16091
331	7986	16068
332	8008	16041
333	8032	16016
334	8055	15991
335	8078	15964
336	8102	15941
337	8124	15912
338	8145	15882
339	8170	15860
340	8195	15837
341	8218	15812
342	8241	15786
343	8266	15763
344	8287	15734
345	8308	15705
346	8333	15683
347	8357	15657
348	8379	15630
349	8400	15601
350	8427	15582
351	8452	15559
352	8474	15532
353	8499	15510
354	8523	15487
355	8548	15464
356	8569	15434
357	8593	15411
358	8614	15381
359	8639	15358
360	8663	15334
361	8686	15308
362	8712	15288
363	8737	15266
364	8760	15241
365	8784	15217
366	8810	15195
367	8833	15170
368	8855	15143
369	8880	15120
370	8904	15097
371	8928	15073
372	8952	15049
373	8975	15022
374	8997	14996
375	9023	14975
376	9047	14951
377	9070	14924
378	9094	14902
379	9117	14875
380	9141	14852
381	9165	14827
382	9187	14800
383	9212	14778
384	9235	14752
385	9261	14732
386	9283	14705
387	9305	14677
388	9328	14652
389	9355	14632
390	9379	14609
391	9403	14584
392	9426	14559
393	9448	14532
394	9471	14506
395	9496	14484
396	9520	14460
397	9546	14440
398	9570	14415
399	9592	14388
400	9616	14364
401	9638	14338
402	9659	14309
403	9686	14289
404	9706	14260
405	9730	14236
406	9753	14210
407	9777	14186
408	9800	14161
409	9824	14138
410	9847	14111
411	9869	14084
412	9893	14061
413	9914	14034
414	9939	14010
415	9961	13984
416	9983	13957
417	10008	13935
418	10033	13913
419	10055	13886
420	10077	13859
421	10099	13832
422	10120	13805
423	10143	13779
424	10166	13754
425	10190	13730
426	10213	13706
427	10239	13684
428	10264	13661
429	10286	13635
430	10311	13612
431	10332	13585
432	10355	13560
433	10379	13536
434	10404	13513
435	10428	13489
436	10451	13464
437	10476	13442
438	10500	13418
439	10523	13393
440	10547	13369
441	10572	13347
442	10592	13318
443	10613	13290
444	10636	13266
445	10657	13238
446	10681	13214
447	10704	13189
448	10726	13162
449	10750	13138
450	10774	13116
451	10797	13091
452	10821	13067
453	10842	13039
454	10867	13017
455	10887	12988
456	10910	12963
457	10933	12939
458	10955	12912
459	10979	12889
460	11005	12867
461	11027	12842
462	11052	12818
463	11071	12789
464	11095	12765
465	11119	12742
466	11142	12717
467	11163	12690
468	11189	12668
469	11213	12645
470	11237	12620
471	11261	12597
472	11284	12573
473	11305	12546
474	11327	12519
475	11349	12494
476	11374	12471
477	11396	12445
478	11420	12422
479	11446	12400
480	11472	12378
481	11496	12355
482	11519	12330
483	11543	12306
484	11565	12281
485	11587	12255
486	11612	12232
487	11638	12211
488	11662	12187
489	11684	12161
490	11708	12138
491	11731	12113
492	11758	12092
493	11781	12067
494	11799	12038
495	11824	12015
496	11846	11989
497	11867	11962
498	11890	11938
499	11912	11912
500	11936	11888
501	11957	11862
502	11982	11839
503	12007	11816
504	12032	11794
505	12056	11770
506	12079	11745
507	12101	11720
508	12126	11697
509	12149	11673
510	12172	11648
511	12196	11625
512	12217	11598
513	12239	11572
514	12263	11549
515	12287	11525
516	12309	11500
517	12333	11476
518	12358	11453
519	12380	11427
520	12403	11403
521	12427	11380
522	12451	11356
523	12473	11331
524	12498	11307
525	12520	11282
526	12543	11258
527	12567	11234
528	12590	11209
529	12611	11183
530	12633	11158
531	12656	11134
532	12680	11110
533	12702	11085
534	12727	11062
535	12751	11038
