iter	Logloss
0	0.6458918084
1	0.6085666175
2	0.5808135302
3	0.5586093497
4	0.5410313898
5	0.5274593811
6	0.5175916196
7	0.5095356377
8	0.5018334066
9	0.4958356069
10	0.4914826927
11	0.4873090691
12	0.4844669567
13	0.4816001055
14	0.4794396204
15	0.4771396059
16	0.4752150047
17	0.4731771478
18	0.4715949773
19	0.4701086482
20	0.4689804274
21	0.4676977051
22	0.4665596997
23	0.4657783116
24	0.4648159609
25	0.4639693328
26	0.4633186076
27	0.4624425767
28	0.4616857001
29	0.4610222769
30	0.4604989761
31	0.4600563629
32	0.4595889146
33	0.4590367085
34	0.4584971103
35	0.4580038475
36	0.457593897
37	0.4571141005
38	0.456649059
39	0.4563270639
40	0.4558321787
41	0.455500365
42	0.4551571799
43	0.4548321052
44	0.4545292059
45	0.4542774906
46	0.4539861061
47	0.4537402982
48	0.453355086
49	0.4530882676
50	0.4526994361
51	0.4523122678
52	0.4520486993
53	0.4516680203
54	0.4514340384
55	0.4511523711
56	0.4509472837
57	0.4506324102
58	0.4504198054
59	0.4501786287
60	0.4500129288
61	0.4498386938
62	0.4496513662
63	0.4493655021
64	0.4491955941
65	0.449033978
66	0.4488644761
67	0.4486784223
68	0.4484734476
69	0.4482924849
70	0.4481770301
71	0.4480429941
72	0.4478515356
73	0.447690048
74	0.4475184237
75	0.4473320437
76	0.4471884981
77	0.4470524556
78	0.446936443
79	0.4467916973
80	0.4466400717
81	0.4465134233
82	0.4463947526
83	0.4462369815
84	0.4461094839
85	0.445965828
86	0.4458483777
87	0.4456888968
88	0.4455100655
89	0.4454105668
90	0.4452706097
91	0.4451518952
92	0.4450126909
93	0.44485833
94	0.4447092792
95	0.4446173947
96	0.4445160791
97	0.444408514
98	0.4442760779
99	0.4441800051
100	0.4440453554
101	0.4438762558
102	0.4437097465
103	0.443555015
104	0.4434202414
105	0.4433112767
106	0.4432035241
107	0.4430829839
108	0.4429702368
109	0.4428712844
110	0.4427642459
111	0.4426444719
112	0.4425377836
113	0.4423521463
114	0.4422215879
115	0.4421052255
116	0.4420315161
117	0.4418996173
118	0.4417580539
119	0.4416247687
120	0.4415263114
121	0.441391768
122	0.441263205
123	0.4411060926
124	0.4409922615
125	0.4408996472
126	0.4407960366
127	0.440677024
128	0.4405586266
129	0.4404254487
130	0.4403105819
131	0.440174094
132	0.4400704881
133	0.4399338513
134	0.4397977136
135	0.4397001919
136	0.4395738158
137	0.4394862087
138	0.4393787704
139	0.4391659515
140	0.4390349003
141	0.4389129569
142	0.4387800932
143	0.4386585968
144	0.4385511299
145	0.4384629934
146	0.4383300369
147	0.4381815726
148	0.4380814932
149	0.4379669573
150	0.4378770372
151	0.4377504351
152	0.4376299316
153	0.4375152034
154	0.4374033829
155	0.4372906283
156	0.4371706086
157	0.4370755098
158	0.4369631343
159	0.436852144
160	0.4367385651
161	0.436633647
162	0.4365313633
163	0.4364244058
164	0.4363258155
165	0.4362139882
166	0.4361376262
167	0.4360472246
168	0.43592402
169	0.4358193211
170	0.4357244748
171	0.4356072648
172	0.4354727113
173	0.4353794428
174	0.435272516
175	0.4351683687
176	0.4350463871
177	0.4349437752
178	0.4348384748
179	0.4347364554
180	0.4346337553
181	0.4345349086
182	0.4344407058
183	0.434364867
184	0.4342730464
185	0.4341485603
186	0.4340805939
187	0.4339697047
188	0.4338768006
189	0.4337823935
190	0.4336887366
191	0.433601714
192	0.4334882373
193	0.4333985262
194	0.4333128235
195	0.4332218198
196	0.4331120093
197	0.4330325175
198	0.4329455181
199	0.4328540675
200	0.4327847971
201	0.4327049637
202	0.43260671
203	0.4325295427
204	0.4324413747
205	0.4323481339
206	0.4322822135
207	0.4321989555
208	0.432097456
209	0.4320035321
210	0.4319088622
211	0.4318178343
212	0.43172676
213	0.4316197139
214	0.4315329085
215	0.4314512153
216	0.4313420417
217	0.4312758716
218	0.4311832705
219	0.4311071227
220	0.4310142849
221	0.4309293041
222	0.4308559427
223	0.4307802939
224	0.4307046498
225	0.430597597
226	0.4305071183
227	0.4304136352
228	0.4303266419
229	0.4302521279
230	0.430162688
231	0.4300644104
232	0.4299814599
233	0.4299042309
234	0.4298303745
235	0.4297370827
236	0.4296429983
237	0.429572265
238	0.4294821781
239	0.4294261925
240	0.4293334845
241	0.4292407689
242	0.429158401
243	0.4290981872
244	0.4290084355
245	0.4289024233
246	0.428819322
247	0.4287386354
248	0.428648641
249	0.4285669021
250	0.4284969504
251	0.428444463
252	0.4283649797
253	0.428308015
254	0.4282323697
255	0.4281197899
256	0.4280681299
257	0.4280028056
258	0.4279188
259	0.4278616436
260	0.4277799124
261	0.4276902158
262	0.4276041184
263	0.4275369233
264	0.4274594485
265	0.4273896749
266	0.4273261106
267	0.427253012
268	0.427189288
269	0.4270901735
270	0.4269999338
271	0.4269272112
272	0.4268485961
273	0.4267731288
274	0.4266920039
275	0.4265950546
276	0.4265054592
277	0.4264330681
278	0.4263809631
279	0.4263027393
280	0.4262481467
281	0.4261571147
282	0.4260930442
283	0.4260182243
284	0.4259364989
285	0.4258510484
286	0.4257790416
287	0.4257037523
288	0.4256225087
289	0.4255538734
290	0.4254699992
291	0.425382192
292	0.4252947246
293	0.4252889254
294	0.4252182978
295	0.4251468163
296	0.4250429419
297	0.4249771898
298	0.4249214113
299	0.4248398829
300	0.4247610927
301	0.4246772162
302	0.4245867443
303	0.4245123107
304	0.4244437521
305	0.424369663
306	0.4242929889
307	0.4242335085
308	0.424175723
309	0.4240998734
310	0.424016595
311	0.4239301065
312	0.4238583637
313	0.4237906456
314	0.4237167177
315	0.4236329564
316	0.4235451466
317	0.4234748413
318	0.4233925509
319	0.4233111872
320	0.4232609952
321	0.4231959431
322	0.4231202966
323	0.423046393
324	0.4230003223
325	0.4229304933
326	0.4228520577
327	0.4227688017
328	0.4227123288
329	0.4226406007
330	0.4225590108
331	0.4224786092
332	0.4224107993
333	0.4223427461
334	0.422274623
335	0.4222056885
336	0.4221408687
337	0.422062332
338	0.4219978207
339	0.4219931436
340	0.4219851773
341	0.4219231539
342	0.4218616182
343	0.4217878385
344	0.4217149483
345	0.4216550623
346	0.4216056336
347	0.4215266136
348	0.4214567538
349	0.4213870415
350	0.4213178284
351	0.4212695907
352	0.421188909
353	0.4211798814
354	0.4211133232
355	0.4210490072
356	0.4209594572
357	0.4208895491
358	0.4208470325
359	0.4207784479
360	0.4207044548
361	0.4206422744
362	0.4205672932
363	0.4204953862
364	0.4204434913
365	0.4203911881
366	0.4203184
367	0.4202570137
368	0.42020014
369	0.4201246899
370	0.420065114
371	0.4199946151
372	0.4199209689
373	0.419855778
374	0.4197839313
375	0.419702338
376	0.4196351814
377	0.4195607777
378	0.4194924496
379	0.4194835592
380	0.4194125833
381	0.4193454141
382	0.4192587222
383	0.4192135395
384	0.4191466129
385	0.419092919
386	0.4190140976
387	0.4189165734
388	0.4188592944
389	0.418777231
390	0.4187015862
391	0.4186527231
392	0.4185952803
393	0.4185257417
394	0.4184593685
395	0.418392064
396	0.418320631
397	0.4182590301
398	0.4181999735
399	0.4181362966
400	0.4180682431
401	0.4180132401
402	0.4179294595
403	0.4179272332
404	0.4178703342
405	0.4178230849
406	0.4177638083
407	0.4176984917
408	0.4176349284
409	0.4175829813
410	0.4175343786
411	0.4174685685
412	0.4173836758
413	0.4173099449
414	0.4172472892
415	0.4172032279
416	0.4171263658
417	0.4170590169
418	0.4170102616
419	0.4169412377
420	0.4168920205
421	0.4168237467
422	0.4167619769
423	0.4167187835
424	0.416647893
425	0.4165978389
426	0.4165568537
427	0.4164772015
428	0.4164221225
429	0.4163466355
430	0.4162942152
431	0.4162256873
