iter	Passed	Remaining
0	17	17739
1	35	17595
2	52	17414
3	67	16837
4	83	16707
5	100	16674
6	118	16765
7	134	16676
8	151	16707
9	168	16640
10	184	16554
11	200	16477
12	216	16410
13	231	16325
14	247	16265
15	263	16205
16	279	16154
17	294	16041
18	310	16044
19	325	15962
20	341	15926
21	357	15873
22	373	15863
23	388	15809
24	405	15814
25	420	15742
26	435	15678
27	450	15639
28	466	15625
29	482	15591
30	497	15560
31	514	15550
32	530	15540
33	545	15507
34	561	15493
35	577	15468
36	592	15424
37	608	15411
38	624	15388
39	639	15352
40	655	15323
41	670	15298
42	686	15283
43	701	15252
44	716	15205
45	731	15179
46	748	15169
47	763	15133
48	777	15089
49	792	15053
50	807	15017
51	823	15021
52	839	15006
53	854	14970
54	870	14954
55	886	14943
56	901	14916
57	917	14898
58	931	14857
59	947	14843
60	962	14817
61	976	14773
62	990	14730
63	1007	14730
64	1021	14696
65	1037	14677
66	1052	14656
67	1068	14639
68	1083	14624
69	1099	14604
70	1113	14575
71	1129	14563
72	1144	14530
73	1159	14506
74	1175	14492
75	1189	14456
76	1205	14447
77	1222	14445
78	1237	14428
79	1253	14410
80	1268	14395
81	1284	14385
82	1301	14379
83	1317	14367
84	1333	14356
85	1348	14334
86	1362	14299
87	1378	14289
88	1395	14279
89	1409	14251
90	1424	14231
91	1439	14206
92	1454	14188
93	1470	14175
94	1486	14163
95	1501	14135
96	1517	14127
97	1532	14106
98	1549	14098
99	1564	14081
100	1580	14065
101	1594	14038
102	1610	14026
103	1627	14018
104	1642	13997
105	1659	13992
106	1674	13977
107	1690	13960
108	1705	13937
109	1720	13920
110	1735	13896
111	1750	13880
112	1765	13861
113	1781	13849
114	1796	13824
115	1812	13815
116	1826	13787
117	1843	13776
118	1859	13764
119	1874	13743
120	1889	13727
121	1904	13708
122	1922	13707
123	1938	13692
124	1952	13669
125	1967	13646
126	1982	13629
127	1998	13616
128	2015	13606
129	2031	13593
130	2046	13573
131	2062	13564
132	2076	13536
133	2091	13519
134	2107	13502
135	2122	13481
136	2137	13467
137	2152	13447
138	2169	13436
139	2183	13414
140	2200	13407
141	2216	13390
142	2231	13372
143	2247	13357
144	2261	13333
145	2275	13309
146	2292	13300
147	2308	13290
148	2322	13267
149	2339	13255
150	2353	13233
151	2369	13216
152	2385	13205
153	2401	13191
154	2416	13173
155	2432	13157
156	2448	13147
157	2463	13127
158	2478	13107
159	2493	13091
160	2507	13068
161	2524	13056
162	2539	13038
163	2554	13021
164	2569	13005
165	2585	12990
166	2600	12969
167	2615	12951
168	2630	12932
169	2645	12916
170	2660	12900
171	2677	12887
172	2694	12878
173	2709	12860
174	2724	12844
175	2740	12828
176	2755	12814
177	2771	12798
178	2786	12782
179	2803	12772
180	2818	12752
181	2832	12728
182	2846	12707
183	2860	12686
184	2876	12671
185	2892	12658
